year,station_name,variable,flow_m3s,unit,source_reference
1971,Ponte Nova do Paraopeba,annual mean daily flow,46.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1972,Ponte Nova do Paraopeba,annual mean daily flow,79.0,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1973,Ponte Nova do Paraopeba,annual mean daily flow,96.3,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1974,Ponte Nova do Paraopeba,annual mean daily flow,77.6,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1975,Ponte Nova do Paraopeba,annual mean daily flow,69.3,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1976,Ponte Nova do Paraopeba,annual mean daily flow,67.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1977,Ponte Nova do Paraopeba,annual mean daily flow,72.4,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1978,Ponte Nova do Paraopeba,annual mean daily flow,78.0,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1979,Ponte Nova do Paraopeba,annual mean daily flow,141.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1980,Ponte Nova do Paraopeba,annual mean daily flow,100.7,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1981,Ponte Nova do Paraopeba,annual mean daily flow,87.4,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1982,Ponte Nova do Paraopeba,annual mean daily flow,100.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1983,Ponte Nova do Paraopeba,annual mean daily flow,166.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1984,Ponte Nova do Paraopeba,annual mean daily flow,74.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1985,Ponte Nova do Paraopeba,annual mean daily flow,133.4,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1986,Ponte Nova do Paraopeba,annual mean daily flow,85.1,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1987,Ponte Nova do Paraopeba,annual mean daily flow,78.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1988,Ponte Nova do Paraopeba,annual mean daily flow,76.4,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1989,Ponte Nova do Paraopeba,annual mean daily flow,64.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1990,Ponte Nova do Paraopeba,annual mean daily flow,53.1,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1991,Ponte Nova do Paraopeba,annual mean daily flow,112.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1992,Ponte Nova do Paraopeba,annual mean daily flow,110.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1993,Ponte Nova do Paraopeba,annual mean daily flow,82.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1994,Ponte Nova do Paraopeba,annual mean daily flow,88.1,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1995,Ponte Nova do Paraopeba,annual mean daily flow,80.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1996,Ponte Nova do Paraopeba,annual mean daily flow,89.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1997,Ponte Nova do Paraopeba,annual mean daily flow,114.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1998,Ponte Nova do Paraopeba,annual mean daily flow,63.6,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1999,Ponte Nova do Paraopeba,annual mean daily flow,57.3,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
