water_year,water_year_start,water_year_end,station_code,station_name,variable,flow_m3s,unit,source_reference
1967/68,3867,3868,40800001,P. N. Paraopeba,annual maximum mean daily flow,450,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1968/69,3868,3869,40800001,P. N. Paraopeba,annual maximum mean daily flow,478,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1969/70,3869,3870,40800001,P. N. Paraopeba,annual maximum mean daily flow,340,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1970/71,3870,3871,40800001,P. N. Paraopeba,annual maximum mean daily flow,246,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1971/72,3871,3872,40800001,P. N. Paraopeba,annual maximum mean daily flow,568,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1972/73,3872,3873,40800001,P. N. Paraopeba,annual maximum mean daily flow,520,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1973/74,3873,3874,40800001,P. N. Paraopeba,annual maximum mean daily flow,449,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1974/75,3874,3875,40800001,P. N. Paraopeba,annual maximum mean daily flow,357,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1975/76,3875,3876,40800001,P. N. Paraopeba,annual maximum mean daily flow,276,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1977/78,3877,3878,40800001,P. N. Paraopeba,annual maximum mean daily flow,736,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1978/79,3878,3879,40800001,P. N. Paraopeba,annual maximum mean daily flow,822,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1979/80,3879,3880,40800001,P. N. Paraopeba,annual maximum mean daily flow,550,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1982/83,3882,3883,40800001,P. N. Paraopeba,annual maximum mean daily flow,698,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1983/84,3883,3884,40800001,P. N. Paraopeba,annual maximum mean daily flow,585,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1984/85,3884,3885,40800001,P. N. Paraopeba,annual maximum mean daily flow,1017,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
